Header,Date,Description,Link
"

                    Investment policy reform in Nigeria
                
",21-May-2015,"
                This Investment Policy Review examines Nigeria's achievements in developing an open and transparent investment regime and its efforts to reduce restrictions on international investment. 
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/nigeria-investment-policy.htm"",""more details"")"
"

                    OECD Investment Policy Reviews: Nigeria 2015
                
",21-May-2015,"Since the return to democracy in 1999, Nigeria has embarked upon an ambitious reform programme towards greater economic openness and liberalisation. As a result, gross domestic product growth picked up consistently, never going below 5% since 2003. Nigeria has become a top recipient of foreign direct investment in Africa, with inflows having surpassed those to South Africa since 2009. The federal governmentâs Transformation Agenda recognises private sector development as the main engine for economic growth and includes bold investment reforms. Growth has however not yet been translated into inclusive development and the investment climate still suffers from severe challenges.","=HYPERLINK(""https://www.oecd.org/countries/nigeria/oecd-investment-policy-reviews-nigeria-2015-9789264208407-en.htm"",""more details"")"
"
Policy Note on Participation of Developing Countries in Global Value Chains","
23-April-2015",4-page policy note detailing the key results and recommendations from OECD Trade Policy Paper 179 on the Participation of Developing Countries in Global Value Chains.,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/Participation-Developing-Countries-GVCs-Policy-Note-April-2015.pdf"",""more details"")"
"
Summary Paper of Report on Participation of Developing countries in Global Value Chains","
23-April-2015",24-page summary paper of the OECD trade policy paper #179 on participation of developing countries in global value chains available on the OECD iLibrary.,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/Participation-Developing-Countries-GVCs-Summary-Paper-April-2015.pdf"",""more details"")"
Header,Date,Description,Link
"
Trans-Saharan gas pipeline","
4-December-2014","At an estimated cost of 21 billion USD in 2006, the trans-Saharan gas pipeline would have the\ capacity to transport some 30 billion cubic meters of gas per year from Nigeria to Europe.

","=HYPERLINK(""https://www.oecd.org/countries/nigeria/02-Transsaharan gas pipeline.pdf"",""more details"")"
"
Boko Haram","
4-December-2014","At the end of the 90s, the Boko Haram sect began as a protest movement in response to corruption among northern governors responsible for implementing Sharia law. Its supporters demanded full application of Koranic law and rejected the âmodernityâ of southern Nigeria, whose misguided âeducationâ was considered a sin. ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/05-bokoharam.pdf"",""more details"")"
"

                    African countries need to tap global markets more effectively to strengthen their economies, says new African Economic Outlook
                
",19-May-2014,"
                By participating more effectively in the global production of goods and services, Africa can transform its economy and achieve a development breakthrough, according to the latest African Economic Outlook, released at the African Development Bank Groupâs Annual Meetings.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/african-economic-outlook-2014-press-release.htm"",""more details"")"
"

                    Austria, Luxembourg and Singapore among countries signing-on to end tax secrecy
                
",29-May-2013,"
                As a further sign of international efforts to crack down on tax offenders, 12 more countries have signed, or committed to sign, the OECDâs Multilateral Convention on Mutual Administrative Assistance in Tax Matters. In addition, another 6 countries have ratified the Convention. 
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/austria-luxembourg-and-singapore-among-countries-signing-on-to-end-tax-secrecy.htm"",""more details"")"
"

                    Aid Statistics, Recipient Aid at a glance
                
",19-February-2013,"
                The charts show for each of the following countries and territories, and for the years 2009-2011: net ODA receipts, top ten donors of gross ODA, population and GNI per capita and bilateral ODA by sector.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/recipientcharts.htm"",""more details"")"
"
China and Nigeria: a powerful South-South alliance","
30-November-2011","China and Nigeria: a powerful South-South alliance, West African Challenges, no. 5, November 2011, by Margaret Egbula, Qi Zheng","=HYPERLINK(""https://www.oecd.org/countries/nigeria/49814032.pdf"",""more details"")"
"
SWAC Forum 2011 - Nigeria: The Sweet Sorghum-to-Ethanol Initiative","
10-November-2011","Nigeria: The Sweet Sorghum-to-Ethanol Initiative, by Felix Babatunde Obada, CEO Global Biofuels Nigeria, SWAC Forum 2011, West Africa and Brazil: addressing renewable energy issues, organised by the Sahel and West Africa Club Secretariat, 5-6 December 2011, Praia, Cape Verde.
 <","=HYPERLINK(""https://www.oecd.org/countries/nigeria/49257937.pdf"",""more details"")"
"

                    Insecurity in the Sahel, the Arab Spring and trans-Saharan co-operation
                
",15-September-2011,"
                A new Trans-Saharan co-operation is needed, viewpoint by Laurent Bossard,  Sahel and West Africa Club Secretariat, septembre 2011.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/insecurityinthesahelthearabspringandtrans-saharanco-operation.htm"",""more details"")"
"
Harmonisation of West African settlement data","
3-August-2011","Harmonisation of West African settlement data, note produced by the SWAC Secretariat within the ""West African Futures"" programme on settlement, market and food security, July 2011","=HYPERLINK(""https://www.oecd.org/countries/nigeria/48485370.pdf"",""more details"")"
"

                    African Economic Outlook 2011
                
",6-June-2011,"
                The 2011 African Economic Outlook was launched at the African Development Bankâs Annual Meetings in Lisbon, Portugal on 6 June, 2011.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2011.htm"",""more details"")"
Header,Date,Description,Link
Evaluation of the 2005 debt relief agreement between the Paris Club and Nigeria ,18-May-2011,"The evaluation report starts off by explaining the context of the agreement, and then goes on to reveal the consequences for the Nigerian economy, and the impact on poverty reduction in Nigeria.","=HYPERLINK(""https://www.oecd.org/countries/nigeria/48481192.pdf"",""more details"")"
"

                    Viewpoint: Elections in Nigeria
                
",26-April-2011,"
                Viewpoint: Elections in Nigeria, Interview with H.E. Gordon H. Bristol, Ambassador of Nigeria to France, led by Margaret Egbula, 26 April 2011
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/viewpointelectionsinnigeria.htm"",""more details"")"
"

                    First Regional Experts’ Meeting of the Joint OECD/AfDB Initiative to Support Business Integrity and Anti-Bribery Efforts in Africa
                
",25-January-2011,"
                The First Regional Expertsâ Meeting of the Joint OECD/AfDB Initiative to Support Business Integrity and Anti-Bribery Efforts in Africa took place on 13 â 14 January 2011 in Lilongwe, Malawi, and officially launched the Joint Initiative. 
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/firstregionalexpertsmeetingofthejointoecdafdbinitiativetosupportbusinessintegrityandanti-briberyeffortsinafrica.htm"",""more details"")"
"
Bilateral and Regional Trade Agreements and Technical Barriers to Trade: An African Perspective","
2-June-2010","Using key principles and provisions of the WTO Agreement on Technical Barriers to Trade (TBT) as a yardstick for analysis, this paper examines whether and how eight major regional integration agreements in Sub-Saharan Africa address TBT. ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/45489713.pdf"",""more details"")"
"

                    African Economic Outlook 2010
                
",24-May-2010,"
                The 2010 African Economic Outlook finds the continent reeling from the effects of the worldâs deepest and most widespread recession in half a century. Just how hard was the region hit? What are the prospects for recovery? This edition features an in-depth study of Taxation and Aid in Africa.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2010.htm"",""more details"")"
Country Level Evaluation Nigeria Volume I: Main Report,12-May-2010,This report covers the evaluation of the cooperation strategy of the EC with the Federal Republic of Nigeria and its implementation in relation to the Country Strategies and National Indicative Programmes of the 7th and 9th European Development Funds.,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/46140622.pdf"",""more details"")"
"Country Programme Evaluation of Nigeria, 1998-2007",13-April-2010,"In spite of the relatively small weight of its financial contribution in comparison with Nigeriaâs earnings from oil, the Bank carried a great deal of influence as a source of objective advice and as a means of influencing perceptions of Nigeria.","=HYPERLINK(""https://www.oecd.org/countries/nigeria/47886664.pdf"",""more details"")"
"

                        Africaneconomicoutlook.org
                    
",5-March-2010,"
                    The Development Centre's award-winning website keeping its finger on the economic pulse of Africa.
                ","=HYPERLINK(""https://www.oecd.org
                        http://www.africaneconomicoutlook.org"",""more details"")"
"

                    Aid for Trade at a Glance 2009 - Nigeria
                
",6-July-2009,"
                The Aid for Trade at a Glance 2009: Maintaining Momentum report presents the results of the second monitoring exercise of the Aid for Trade Initiative and documents its success so far.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/aidfortradeataglance2009-nigeria.htm"",""more details"")"
"

                    African Economic Outlook 2009
                
",11-May-2009,"
                The 2009 African Economic Outlook focuses on Innovations in Information and Communication technologies. It also presents a comprehensive analysis of the economic, social and political developments on the continent.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2009.htm"",""more details"")"
Header,Date,Description,Link
"

                        Global Change in African Fish Trade: Engine of Development or Threat to Local Food Security?
                    
",1-December-2008,"
                    Trade in fish does not lead to a decline in food security and availability of fish for the population of developing countries, according to this study of industrial and small-scale fisheries in the economy of Sub-Sahara Africa.
                ","=HYPERLINK(""https://www.oecd.org
                        http://dx.doi.org/10.1787/230215206300"",""more details"")"
"

                    African Economic Outlook 2008
                
",11-May-2008,"
                The 2008 African Economic Outlook focuses on Technical Skills Development. It also presents a comprehensive analysis of the economic, social and political developments on the continent.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2008.htm"",""more details"")"
"

                    Aid for Trade: Donor & Partner Country Profiles
                
",3-January-2008,"
                Aid for Trade at a Glance 2007: The OECD Creditor Reporting System (CRS) database is used to track ODA flows from Development Assistance Committee (DAC) member countries.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/aidfortradedonorpartnercountryprofiles.htm"",""more details"")"
Nigeria: Country Assistance Evaluation (Approach Paper) ,27-July-2007,"This Country Assistance Evaluation will cover the strategy, program and outcomes of Bank assistance over nine years. This is the period of the restoration of democratic government in Nigeria following the death of General Abacha. ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/39598807.pdf"",""more details"")"
"

                    African Economic Outlook 2007
                
",12-May-2007,"
                The 31 countries examined in this sixth edition of the African Economic Outlook account for some 86 per cent of Africaâs population and 91 per cent of itseconomic output.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2007.htm"",""more details"")"
"
AEO 2007 - Nigeria country study","
11-May-2007","NIGERIA CONTINUES TO MAKE PROGRESS on its far reaching economic reform programme, the National Economic Empowerment and Development Strategy (NEEDS), aimed at accelerating economic growth, reducing poverty, and achieving the Millennium Development Goals (MDGs).","=HYPERLINK(""https://www.oecd.org/countries/nigeria/38562978.pdf"",""more details"")"
"
African Economic Outlook 2002/03 - Country Studies: Nigeria","
3-March-2003",Country Study of Nigeria,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/2497560.pdf"",""more details"")"
"
African Economic Outlook - Country Studies: Nigeria","
31-January-2002",,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/1826208.pdf"",""more details"")"
"

                    African Economic Outlook - 2001/2002
                
",30-January-2002,"
                The African Economic Outlook project aims to provide valuable information on economic and social development progress in Africa, as well as on short-term prospects (up to 2002 for the 2001 report). It combines the knowledge and expertise accumula...
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook-20012002.htm"",""more details"")"
